Leaked composite object at 0x5654a6a2eef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x5654a6a2fee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x5654a6a2ff20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x5654a6a2ff60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x5654a6a2ef20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x5654a6a2ef50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x5654a6a2ef80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x5654a6a2efb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x5654a6a2efe0 (tests/leak_test.c:12, sz=4, NORMAL)

